Date,Close,Volume,SMA_10,SMA_30,SMA_50,SMA_100,EMA_12,EMA_26,MACD,MACD_signal,RSI_14,Volatility_20,Volatility_50,Mom_5,Mom_10,Mom_20,VROC_5,Future_Close,Target
2014-05-27,156.6791229248047,72010000,154.7279830932617,153.6726506551107,153.04373260498048,151.0249072265625,154.78431020332988,154.03919748593603,0.7451127173938517,0.5874903192762753,68.75009222614737,0.005183400679203312,0.006728247509277481,0.014729409555715334,0.009115244140459833,0.02482884625096582,0.12799385955293796,160.016845703125,1
2014-05-28,156.5646209716797,66723000,154.84415435791016,153.9028060913086,153.139755859375,151.10069259643555,155.0582041676914,154.22626589228742,0.831938275403985,0.6363799105018172,64.98320853514231,0.0051363164366599766,0.006626251012658302,0.020421621529159717,0.007475488451306189,0.019334698722312194,-0.4023592848697646,159.46055603027344,1
2014-05-29,157.3744354248047,64377000,155.11493377685548,154.12559560139974,153.2303094482422,151.18482116699218,155.4145474380165,154.45946363543683,0.9550838025796793,0.7001206889173897,68.80509033581079,0.005204352271892309,0.006592685891991899,0.01713069426328606,0.017507292896680626,0.02156008011077626,-0.2774179789657998,158.3316192626953,1
2014-05-30,157.6280975341797,76316000,155.54688262939453,154.30420989990233,153.34222747802735,151.27580337524415,155.755093606657,154.69417725756594,1.060916349091059,0.7722798209521236,68.88003211120744,0.005200411812864039,0.006538022654038133,0.01629835091190568,0.02817512045356163,0.023098137869610236,0.23992266324391953,158.8143310546875,1
2014-06-02,157.80804443359375,64656000,155.94365234375,154.4817342122396,153.43998809814454,151.359462890625,156.0709321954165,154.92483408541986,1.1460981099966432,0.8470434787610276,64.27901001969684,0.0051646970350056115,0.00649692864131882,0.013396348381684131,0.025791004853065624,0.0257365747143401,0.05832438519760097,158.9451904296875,1
2014-06-03,157.72622680664062,65047000,156.27579193115236,154.63880513509113,153.54797424316405,151.44197799682618,156.3255929048356,155.13234465736213,1.1932482474734627,0.9162844325035147,63.123708194635746,0.005177702083078014,0.006466436041497982,0.006683110438003181,0.021510958264465918,0.02324578132135091,-0.09669490348562704,159.38697814941406,1
2014-06-04,158.04530334472656,55529000,156.73719177246093,154.78333435058593,153.67494140625,151.5267060852051,156.5901637417419,155.34811937494467,1.2420443667972165,0.9814364193622551,70.02901812366352,0.004628306340544429,0.006430663262308767,0.009457324163386183,0.030072079587289302,0.034318584867911284,-0.16776823584071454,160.55679321289062,1
2014-06-05,159.0760498046875,92103000,157.1724060058594,154.9742192586263,153.80812469482422,151.6176693725586,156.97260775142584,155.62426236974045,1.348345381685391,1.0548182118268823,85.5701672661295,0.0046605003958531226,0.006457522099136098,0.010812520949095683,0.028128441202976084,0.034969044867221744,0.4306817652267114,160.73675537109375,1
2014-06-06,159.83689880371094,78696000,157.6460739135742,155.1801020304362,153.9784487915039,151.73619598388672,157.41326791331585,155.93630951299752,1.476958400318324,1.1392462495251707,85.96675233011912,0.004659357458129413,0.006373701156197497,0.014012738236927058,0.030539473673854678,0.04102732949032051,0.031186120865873468,161.06317138671875,1
2014-06-09,160.00050354003906,65119000,158.0739303588867,155.43343404134114,154.15842651367188,151.84023223876954,157.81130416358096,156.23736092240802,1.573943241172941,1.2261856478547248,85.25782037180898,0.004663342012602319,0.006356734758012411,0.013893202430297569,0.027475668991875146,0.04054029379817403,0.00716097500618651,161.01382446289062,1
2014-06-10,160.016845703125,57129000,158.40770263671874,155.6712219238281,154.3238412475586,151.93636840820312,158.15061824658773,156.5173227580167,1.6332954885710365,1.3076076159979872,97.18666497566267,0.004305979724620351,0.006335210187446216,0.014522752131086447,0.021302919725445513,0.03061234518010747,-0.12172736636585857,160.04385375976562,1
2014-06-11,159.46055603027344,68772000,158.69729614257812,155.8667434692383,154.45326263427734,152.02889572143556,158.35214713638553,156.7353400374431,1.6168070989424166,1.3694475125868733,87.94256197639996,0.004447859819862181,0.006282597609707169,0.008954727888749403,0.018496739816574514,0.026110500432766193,0.23848799726269165,160.7671661376953,1
2014-06-12,158.3316192626953,106350000,158.7930145263672,156.00936279296874,154.53981506347657,152.11648696899414,158.34898900197166,156.85358294301736,1.495406058954302,1.3946392218603592,73.09960274089151,0.004641753327525857,0.006324123074602976,-0.004679714783628275,0.006082206651333744,0.023695982521317438,0.15468551512980033,160.65211486816406,1
